"","carrier","name"
"1","9E","Endeavor Air Inc."
"2","AA","American Airlines Inc."
"3","AS","Alaska Airlines Inc."
"4","B6","JetBlue Airways"
"5","DL","Delta Air Lines Inc."
"6","F9","Frontier Airlines Inc."
"7","G4","Allegiant Air"
"8","HA","Hawaiian Airlines Inc."
"9","MQ","Envoy Air"
"10","NK","Spirit Air Lines"
"11","OH","PSA Airlines Inc."
"12","OO","SkyWest Airlines Inc."
"13","QX","Horizon Air"
"14","UA","United Air Lines Inc."
"15","WN","Southwest Airlines Co."
"16","YV","Mesa Airlines Inc."
"17","YX","Republic Airline"
